"mark","model","mileage","transmission","registration","fuel","power","location","price"
Porsche,"996","34205",Manual,"07/2003",Gasoline,"450",DE,58980
Mercedes-Benz,E 55 AMG,"67000",Automatic,"07/2004",Gasoline,"476",DE,29900
BMW,X3,"115000",Automatic,"06/2019",Diesel,"190",BE,31900
Ruf,,"78760",Automatic,"04/2010",Gasoline,"620",DE,86490
Mercedes-Benz,A 200,"90390",Automatic,"09/2017",Gasoline,"156",DE,17490
Volvo,XC60,"126447",Automatic,"07/2014",Diesel,"181",IT,15520
Audi,RS3,"0",Automatic,,Gasoline,"400",DE,85980
BMW,"520","240000",Automatic,"06/2014",Diesel,"184",IT,11900
Chevrolet,Volt,"132905",Automatic,"09/2011",Electric,"162",BE,9990
Audi,A6,"33237",Automatic,"10/2019",Gasoline,"340",DE,49920
Skoda,Superb,"140600",Automatic,"06/2016",Diesel,"190",DE,17780
BMW,Z4,"55257",Automatic,"04/2019",Gasoline,"258",DE,37644
BMW,"520","198000",Automatic,"01/2013",Diesel,"184",BE,15950
Porsche,Macan,"73644",Automatic,"01/2017",Gasoline,"360",DE,54500
Audi,TT RS,"20400",Automatic,"12/2016",Gasoline,"500",DE,91980
Ford,Mustang,"14300",Automatic,"08/2020",Gasoline,"450",DE,43480
Porsche,"992","8100",Automatic,"05/2023",Gasoline,"650",DE,295880
Jaguar,F-Type,"12896",Automatic,"11/2019",Gasoline,"551",DE,78780
